name,price,page,url,price_numeric,volume,price_log,price_scaled
SHEGLAM Take A Hint Lip Tint Memories,26,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,26.0,,3.295836866004329,-0.9439375353488675
SHEGLAM Take A Hint Lip Tint-Primp Primp,26,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,26.0,,3.295836866004329,-0.9439375353488675
"SUNBIRD Mirror Effect Tint Glass Covering For Home Office, Daytime Privacy Protecting Reflective Heat Control Anti Uv Door Sticker For House 17.7 Inch X 6.5 Feet",127,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,127.0,,4.852030263919617,0.5148727760948204
"Swiss Beauty Swiss Beauty Dip Tint Colour Changing PH Lip Oil | With Vitamin E for Long-Lasting Nourishment and Hydration| Soft and Natural Pink Lips | Shade- Strawberry, 3ml",37.50,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,37.5,3.0,3.6506582412937387,-0.611320084531872
TIRTIR Waterism Glow Tint 01 Mauve Rose 4Gram,58.50,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,58.5,,4.085976312551584,-0.20324324012458564
Tint Crown Orange Skin Tag Remover 120ml,35,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,35.0,120.0,3.58351893845611,-0.6742579606428237
Tint Hair Tint Instant Hair Concealer For Greys Thinning Hair Or Patchy Beards. Temporary Hair Shadow For All Hair Types. Sweat And Weather Resistant. Hairline Powder (Dark Brown),297,4,https://www.noon.com/saudi-en/search/?q=tint&page=4,297.0,,5.697093486505405,1.3070538408528698
Tint Hair Tint Instant Hair Concealer For Greys Thinning Hair Or Patchy Beards. Temporary Hair Shadow For Women Hair Types. Sweat And Weather Resistant. Hairline Powder (Black),297,4,https://www.noon.com/saudi-en/search/?q=tint&page=4,297.0,,5.697093486505405,1.3070538408528698
"Tint TINT Root Cover Up Hair Powder for Women & Men, Black, Gray Hair Concealer, Root Touch Up Powder",144.50,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,144.5,,4.980176086611547,0.6349995211136931
Tinte Cosmetics Lips And Cheeks Tint Orange,20,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,20.0,,3.044522437723423,-1.1795252713474225
Tinte Cosmetics Tint Lips And Cheeks Dark Pink,18,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,18.0,,2.9444389791664403,-1.2733457319299324
Unleashia Non Sticky Dazzle Tint 04 Humming,153,7,https://www.noon.com/saudi-en/search/?q=tint&page=7,153.0,,5.0369526024136295,0.6882230901192413
"Urbaano herbal Kumkumadi Lip Oil Serum-Roll On, Tint Free,Transparent- Hydrates, Softens, Restores Natural Colour To Dark, Dry, Pigmented And Chapped Lips For Men, Women & Teenagers - 10Ml",46.40,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,46.4,10.0,3.858622228701031,-0.416370016214452
Voloria I'm Tattoo Velvet Tint 5grams,13.70,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,13.7,,2.6878474937846906,-1.5138802986521624
Voloria I'm Tattoo Velvet Tint 5grams,17,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,17.0,,2.8903717578961645,-1.3240295479683803
Voloria I'm Tattoo Velvet Tint 5grams,18.45,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,18.45,,2.9678470700644555,-1.2514024667683006
YADAH Be My Tint Long Lasting Color Lip Tint Set,66,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,66.0,,4.204692619390966,-0.09195593304192834
rom&nd Dewy·Ful Water Tint (13 Custard Mauve),223,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,223.0,,5.4116460518550396,1.039469065335291
rom&nd Glasting Water Tint Glossy Lipsticks 4 Shades (02 Red Drop),193,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,193.0,,5.267858159063328,0.9046790958197368
rom&nd Juicy Lasting Matte Tint (13Eat Dotori),193,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,193.0,,5.267858159063328,0.9046790958197368
"the SAEM The Saem Saemmul Water Candy Tint 02 Apple, Hydrating & Long-lasting Water-Based Tint, Korean Cosmetics, 10g",69,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,69.0,,4.248495242049359,-0.05089438009616783
