name,price,page,url,price_numeric,volume,price_per_volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
La Rose Plum Perfume Splash 250ml,20.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,20.5,250.0,0.082,-2.501036031717884,-1.0703130376249532,0,2,2,0,0
La Rose Plum Perfume Splash 250ml,22.40,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,22.4,250.0,0.0896,-2.4123999590012524,-0.8865553572011422,0,2,2,0,0
La Rose Purple Love Perfume Splash 250ml,17.45,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,17.45,250.0,0.0698,-2.6621212692138103,-1.404270180417178,0,2,2,0,0
La Rose Purple Love Perfume Splash 250ml,20.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,20.5,250.0,0.082,-2.501036031717884,-1.0703130376249532,0,2,2,0,0
La Rose Purple Love Perfume Splash 250ml,22,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,22.0,250.0,0.088,-2.430418464503931,-0.9239107890743619,0,2,2,0,0
La Rose Purple Love Perfume Splash 250ml,23,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,23.0,250.0,0.092,-2.385966701933097,-0.8317547116398327,0,2,2,0,0
La Rose Red Plum Perfume Splash 250ml,23,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,23.0,250.0,0.092,-2.385966701933097,-0.8317547116398327,0,2,2,0,0
La Rose Wonder Perfume Splash 250ml,21,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,21.0,250.0,0.084,-2.4769384801388235,-1.020354707496565,0,2,2,0,0
La Rose Wonder Perfume Splash 250ml,22.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,22.5,250.0,0.09,-2.4079456086518722,-0.87732073000129,0,2,2,0,0
MELANO Body Splash Aqua Rose 250 ml,26.50,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,26.5,250.0,0.106,-2.24431618487007,-0.5380890555637691,0,2,2,4,0
MELANO Body Splash Bombshell 250 ml,26.50,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,26.5,250.0,0.106,-2.24431618487007,-0.5380890555637691,0,2,2,4,0
MELANO Body Splash Cashmere 250 ml,26.50,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,26.5,250.0,0.106,-2.24431618487007,-0.5380890555637691,0,2,2,4,0
MELANO Body Splash Folie 250 ml,26.50,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,26.5,250.0,0.106,-2.24431618487007,-0.5380890555637691,0,2,2,4,0
MELANO Body Splash Greetings 250 ml,26.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,26.5,250.0,0.106,-2.24431618487007,-0.5380890555637691,0,2,2,4,0
MELANO Body Splash Island Glow 250 ml,26.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,26.5,250.0,0.106,-2.24431618487007,-0.5380890555637691,0,2,2,4,0
MELANO Body Splash Love Victory 250 ML,26.50,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,26.5,250.0,0.106,-2.24431618487007,-0.5380890555637691,0,2,2,4,0
MELANO Body Splash Mango Sunset  250ml,26.50,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,26.5,250.0,0.106,-2.24431618487007,-0.5380890555637691,0,2,2,4,0
MELANO Body Splash Pear Gloss 250 ML,26.50,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,26.5,250.0,0.106,-2.24431618487007,-0.5380890555637691,0,2,2,4,0
MELANO Body Splash Petal Pink 250ml,26.50,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,26.5,250.0,0.106,-2.24431618487007,-0.5380890555637691,0,2,2,4,0
MELANO Body Splash Very Now 250 ML,26.50,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,26.5,250.0,0.106,-2.24431618487007,-0.5380890555637691,0,2,2,4,0
MELANO Body Splash Wicked In Secret 250 ml,26.50,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,26.5,250.0,0.106,-2.24431618487007,-0.5380890555637691,0,2,2,4,0
Mia Body Splash Aqua 160ml,30,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,30.0,160.0,0.1875,-1.6739764335716716,0.6443224225163242,0,0,0,1,0
Norsina Body Splash paris amor 250ml,19,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,19.0,250.0,0.076,-2.577021938695806,-1.227844769155997,0,2,2,0,0
Norsina Pure Seduction Body Splash 250ml,33,9,https://www.noon.com/saudi-en/search/?q=body+splash&page=9,33.0,250.0,0.132,-2.0249533563957662,-0.08331253742409832,0,2,0,4,0
Pure Beauty Body Splash Sweet Love For Women 250 ml,37,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,37.0,250.0,0.148,-1.9105430052180221,0.1538796136328271,0,0,0,1,0
Pure Beauty Midnight Love Body Splash 250ml,36.45,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,36.45,250.0,0.1458,-1.9255194594075793,0.12283087243188597,0,0,0,1,0
Pure Body Secret Love Body Splash 250ml,37.35,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,37.35,250.0,0.1494,-1.9011280062834202,0.17339851053777175,0,0,0,1,0
Selective Collection Strawberry Splash Body Mist 250 ml,35,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,35.0,250.0,0.14,-1.9661128563728327,0.0386738442803185,0,2,0,4,0
Smile Elroo Phant - Body Splash 100ml,24,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,24.0,100.0,0.24,-1.4271163556401458,1.15610542372128,1,0,1,3,0
TRI TRI FRAGRANCES BODY SPLASH  250ML,28,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,28.0,250.0,0.112,-2.1892564076870427,-0.42394075646041207,0,2,2,4,0
TRI TRI FRAGRANCES BODY SPLASH 250 ML,28,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.0,250.0,0.112,-2.1892564076870427,-0.42394075646041207,0,2,2,4,0
TRI TRI FRAGRANCES BODY SPLASH 250 ML,31,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,31.0,250.0,0.124,-2.0874737133771,-0.21292788957183448,0,2,2,4,0
TRI TRI FRAGRANCES BODY SPLASH 250ML,28,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.0,250.0,0.112,-2.1892564076870427,-0.42394075646041207,0,2,2,4,0
aldakheeloud Red Crown Body Splash 100ml,39,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,39.0,100.0,0.39,-0.941608539858445,2.162645845936264,1,0,1,3,0
eyup sabri tuncer Combative Body Splash 250ml,37,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,37.0,250.0,0.148,-1.9105430052180221,0.1538796136328271,0,0,0,1,0
eyup sabri tuncer Factor Body Splash 250ml,37,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,37.0,250.0,0.148,-1.9105430052180221,0.1538796136328271,0,0,0,1,0
eyup sabri tuncer Peaceful Body Splash 250ml,37,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,37.0,250.0,0.148,-1.9105430052180221,0.1538796136328271,0,0,0,1,0
eyup sabri tuncer Pure Love Body Splash 250ml,37,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,37.0,250.0,0.148,-1.9105430052180221,0.1538796136328271,0,0,0,1,0
eyup sabri tuncer Silky Touch Body Splash 250ml,37,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,37.0,250.0,0.148,-1.9105430052180221,0.1538796136328271,0,0,0,1,0
eyup sabri tuncer Wild Beauty Body Splash 250ml,37,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,37.0,250.0,0.148,-1.9105430052180221,0.1538796136328271,0,0,0,1,0
sapil Sapil Enchanted Love Body Mist for Women 236ml,35,9,https://www.noon.com/saudi-en/search/?q=body+splash&page=9,35.0,236.0,0.1483050847457627,-1.9084837435361965,0.15814881395319397,0,0,0,1,0
